date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:20	777/777	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Mar%202020%2000:29:50%20GMT	http://oakleafscouts.com/wp-content/plugins/jetpack/modules/theme-tools/responsive-videos/responsive-videos.min.js?ver=1.3	oakleafscouts.com/wp-content/plugins/jetpack/modules/theme-tools/responsive-videos/responsive-videos.min4e44.js	(from http://oakleafscouts.com/)
14:19:23	44868/44868	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2017%20Aug%202019%2023:13:50%20GMT	http://oakleafscouts.com/wp-includes/fonts/dashicons.eot?50db0456fde2a241f005968eede3f987	oakleafscouts.com/wp-includes/fonts/dashicons2ce6.eot	(from http://oakleafscouts.com/wp-includes/css/dashicons.min.css?ver=5.2.7)
14:19:25	3340/3340	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon.eot?scxfre	oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon4270.eot	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min.css?ver=4.0.2)
14:19:26	3176/3176	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon.ttf?scxfre	oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon4270.ttf	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min.css?ver=4.0.2)
14:19:27	3252/3252	---M--	200	added ('OK')	font/woff	etag:%22cb4-5a7c422473075%22	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon.woff?scxfre	oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon4270.woff	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min.css?ver=4.0.2)
14:19:27	9041/9041	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Jun%202020%2000:35:14%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon.svg?scxfre	oakleafscouts.com/wp-content/plugins/wp-travel/assets/fonts/icomoon4270.svg	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/wp-travel-front-end.min.css?ver=4.0.2)
14:19:28	44696/44696	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2017%20Aug%202019%2023:13:50%20GMT	http://oakleafscouts.com/wp-includes/fonts/dashicons.ttf?50db0456fde2a241f005968eede3f987	oakleafscouts.com/wp-includes/fonts/dashicons2ce6.ttf	(from http://oakleafscouts.com/wp-includes/css/dashicons.min.css?ver=5.2.7)
14:19:43	69020/69020	---M--	200	added ('OK')	font/woff2	etag:%2210d9c-5a7c42244176d%22	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.woff2	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.woff2	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/fontawesome-all.min.css?ver=4.0.2)
14:19:45	80660/80660	---M--	200	added ('OK')	font/woff	etag:%2213b14-5a7c422440f9c%22	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.woff	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.woff	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/fontawesome-all.min.css?ver=4.0.2)
14:19:48	124904/124904	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2011%20Jun%202020%2000:35:13%20GMT	http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.eot	oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://oakleafscouts.com/wp-content/plugins/wp-travel/assets/css/lib/font-awesome/css/fontawesome-all.min.css?ver=4.0.2)
